tract,name,streetrepairs,yearblt,vacant
24510261000,Census Tract 2610,352,1920,86
24510261100,Census Tract 2611,301,1920,4
24510270101,Census Tract 2701.01,631,1927,6
24510270102,Census Tract 2701.02,952,1938,17
24510270200,Census Tract 2702,506,1922,10
24510270301,Census Tract 2703.01,976,1929,12
24510270302,Census Tract 2703.02,540,1924,8
24510270401,Census Tract 2704.01,1088,1948,23
24510270402,Census Tract 2704.02,1061,1931,14
24510270501,Census Tract 2705.01,1094,1949,12
24510270502,Census Tract 2705.02,1419,1938,7
24510270600,Census Tract 2706,1307,1933,18
24510270701,Census Tract 2707.01,210,1966,0
24510270702,Census Tract 2707.02,788,1932,2
24510270703,Census Tract 2707.03,727,1941,5
24510270801,Census Tract 2708.01,753,1954,5
24510270802,Census Tract 2708.02,1159,1952,6
24510270803,Census Tract 2708.03,1216,1951,8
24510270804,Census Tract 2708.04,498,1940,1
24510270805,Census Tract 2708.05,1207,1949,21
24510270901,Census Tract 2709.01,612,1945,2
24510270902,Census Tract 2709.02,855,1952,3
24510270903,Census Tract 2709.03,676,1941,9
24510271001,Census Tract 2710.01,448,1928,29
24510271002,Census Tract 2710.02,883,1930,66
24510271101,Census Tract 2711.01,446,1937,6
24510271102,Census Tract 2711.02,801,1925,8
24510271200,Census Tract 2712,3033,1937,7
24510271300,Census Tract 2713,1669,1924,2
24510271400,Census Tract 2714,938,1910,1
24510271501,Census Tract 2715.01,1917,1937,3
24510271503,Census Tract 2715.03,454,1966,0
24510271600,Census Tract 2716,622,1942,161
24510271700,Census Tract 2717,879,1939,172
24510271801,Census Tract 2718.01,384,1947,155
24510271802,Census Tract 2718.02,533,1938,254
24510271900,Census Tract 2719,1084,1942,14
24510272003,Census Tract 2720.03,1323,1952,4
24510272004,Census Tract 2720.04,270,1955,0
24510272005,Census Tract 2720.05,726,1953,1
24510272006,Census Tract 2720.06,469,1949,0
24510272007,Census Tract 2720.07,483,1948,5
24510280101,Census Tract 2801.01,1029,1951,22
24510280102,Census Tract 2801.02,1758,1942,31
24510280200,Census Tract 2802,1236,1925,24
24510280301,Census Tract 2803.01,858,1930,8
24510280302,Census Tract 2803.02,602,1950,10
24510280401,Census Tract 2804.01,771,1950,4
24510280402,Census Tract 2804.02,302,1951,8
24510280403,Census Tract 2804.03,1010,1933,7
24510280404,Census Tract 2804.04,429,1948,4
24510280500,Census Tract 2805,740,1920,57
